0 0 0
 2.78088e-17  1.00901e-16 -2.34323e-17
-2.18115e-16  1.29838e-16  6.64006e-17
    -1.32266 -3.58102e-06      2.06614
   -1.32259 -5.6343e-06      2.0659
     -1.3225 -7.58358e-06      2.06559
    -1.32241 -9.43671e-06       2.0651
    -1.32232 -1.11982e-05      2.06443
    -1.32222 -1.28678e-05      2.06359
    -1.32212 -1.44506e-05      2.06256
    -1.32202 -1.59658e-05      2.06137
    -1.32191 -1.74341e-05      2.05999
   -1.32179 -1.8815e-05     2.05844
    -1.32167 -2.01259e-05      2.05671
   -1.32155 -2.1364e-05     2.05481
    -1.32142 -2.25498e-05      2.05272
    -1.32128 -2.36879e-05      2.05046
    -1.32114 -2.47629e-05      2.04803
    -1.32099 -2.57876e-05      2.04541
    -1.32083 -2.67666e-05      2.04262
 -1.32067 -2.77e-05   2.03965
     -1.3205 -2.85917e-05       2.0365
   -1.32033 -2.9439e-05     2.03318
    -1.32015 -3.02422e-05      2.02967
   -1.31996 -3.1022e-05       2.026
    -1.31977 -3.17546e-05      2.02214
    -1.31956 -3.24699e-05      2.01811
    1.23094 -0.00207649     9.88311
    1.32605 -0.00146101     17.5002
      1.348 -0.00171098      17.392
    1.37238 -0.00210675     17.3147
    1.39908 -0.00277742     17.2616
    1.40315 -0.00335818     17.2314
    1.39416 -0.00347514     17.1883
    1.35387 -0.00321054     17.1091
    1.30725 -0.00293224     17.0055
    1.25589 -0.00264634     16.8815
    1.20114 -0.00235778     16.7407
    1.14415 -0.00206991     16.5864
    1.08586 -0.00178758     16.4215
    1.02708 -0.00151112     16.2485
   0.968097 -0.00125146     16.0726
   0.910208 -0.00131544     15.8995
   0.855047 -0.00105713     15.7303
    0.801895 -0.000816291      15.5645
    0.750716 -0.000591146      15.4021
    0.698353 -0.000365069       15.241
    0.639921 -0.000187791      15.0784
   0.584209 0.000221533     14.9198
   0.530351 0.000614406     14.7647
   0.477346 0.000885132     14.6126
  0.42739 0.0012641   14.4645
   0.37915 0.00171899      14.32
0.333365 0.002228  14.1789
 0.288971 0.0026855   14.0408
  0.245912 0.00288725    13.9057
  0.214895 0.00167936     13.769
  0.196454 0.00101641    13.6283
   0.183883 0.000949621     13.4868
   0.170192 0.000894637     13.3492
   0.157282 0.000841446     13.2148
   0.145111 0.000789999     13.0837
   0.135382 0.000731217     12.9552
   0.124388 0.000685386     12.8305
   0.114028 0.000641052     12.7089
   0.106025 0.000586121     12.5899
  0.0966368 0.000547295     12.4745
  0.0877982 0.000509748     12.3622
  0.0811938 0.000458012     12.2523
  0.0731542 0.000425995      12.146
  0.0673431 0.000373856     12.0419
       0.06 0.000347689     11.9414
  0.0548501 0.000294669      11.843
  0.0481123 0.000274759     11.7482
  0.0434899 0.000220389     11.6554
  0.0390868 0.000159315     11.5652
   0.032948 0.000154173     11.4785
  0.0288409 9.03721e-05     11.3937
  0.0247838 1.84203e-05     11.3115
   0.0206872 -5.47708e-05      11.2318
   0.0164715 -0.000100343      11.1547
    0.012271 -5.93312e-05      11.0801
  0.00615211 -5.35613e-06      11.0087
0.000438576 4.43823e-05     10.9395
-0.00488941 9.01072e-05     10.8726
-0.00985048 0.000132002     10.8077
 -0.0144627 0.000170304      10.745
 -0.0187436 0.000205055     10.6842
-0.0227096 0.00023663    10.6255
 -0.0242528 0.000164082     10.5677
-0.0250808 0.00014677    10.5117
 -0.0255632 0.000133133     10.4575
 -0.0258234 0.000108051     10.4052
 -0.027737 0.00010035    10.3554
 -0.0275178 6.20957e-05     10.3065
 -0.0290561 5.15269e-05     10.2601
 -0.0285349 8.89848e-06     10.2146
  -0.0297862 -2.19351e-06      10.1714
   -0.029093 -4.33007e-05      10.1291
  -0.0301247 -5.36692e-05      10.0891
  -0.0310605 -6.37987e-05      10.0505
  -0.0319104 -7.32169e-05      10.0133
   -0.030811 -0.000110335      9.97699
 -0.0315277 -0.00011817     9.94267
  -0.0321737 -0.000125578      9.90969
  -0.0327533 -0.000132601      9.87803
  -0.0332707 -0.000139166      9.84764
  -0.0318736 -0.000168885      9.81784
  -0.0323293 -0.000173632       9.7899
  -0.0327342 -0.000178035      9.76313
  -0.0330914 -0.000182056       9.7375
  -0.0334039 -0.000185785      9.71297
  -0.0336747 -0.000189134      9.68951
  -0.0339067 -0.000192284       9.6671
  -0.0322834 -0.000212868      9.64506
  -0.0325153 -0.000214372      9.62464
  -0.0327139 -0.000215572      9.60518
  -0.0328816 -0.000216634      9.58663
  -0.0330203 -0.000217469      9.56899
  -0.0331319 -0.000218091       9.5522
  -0.0332185 -0.000218554      9.53626
  -0.0332817 -0.000218862      9.52113
  -0.0333233 -0.000219044      9.50679
  -0.0333445 -0.000219001      9.49321
  -0.033347 -0.00021885     9.48037
  -0.0333323 -0.000218616      9.46825
  -0.0333013 -0.000218258      9.45681
  -0.0332567 -0.000218072      9.44604
  -0.0332447 -0.000218967      9.43579
